date,state,device,type,message,illuminance,linkquality,occupancy,temperature,description,humidity,winddirection,precipitation,pressure,windspeed,battery,voltage,contact
2019-02-12 23:47:14,,,pairing,connecting with device,,,,,,,,,,,,,
2019-02-12 23:47:14,,,,,,28.0,,14.1,,,,,,,,,
2019-02-12 23:47:14,,,,,,31.0,,14.1,,81.09,,,,,,,
2019-02-12 23:47:14,,,,,,31.0,,14.1,,81.09,,,1022.0,,,,
2019-02-12 23:47:20,,,pairing,device incoming,,,,,,,,,,,,,
2019-02-12 23:47:21,,,,,94.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:47:21,,,,,94.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:47:37,,,,,96.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:47:37,,,,,96.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:47:51,,,,,95.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:47:51,,,,,95.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:47:57,,,,,94.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:47:57,,,,,94.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:48:02,,,,,97.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:48:02,,,,,97.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:48:21,,,pairing,connecting with device,,,,,,,,,,,,,
2019-02-12 23:48:25,,,pairing,connecting with device,,,,,,,,,,,,,
2019-02-12 23:48:28,,,pairing,connecting with device,,,,,,,,,,,,,
2019-02-12 23:48:31,,,pairing,connecting with device,,,,,,,,,,,,,
2019-02-12 23:50:24,,,,,90.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:51:04,,,pairing,connecting with device,,,,,,,,,,,,,
2019-02-12 23:51:08,,,pairing,connecting with device,,,,,,,,,,,,,
2019-02-12 23:51:10,,,device_connected,0x00158d000238621c,,,,,,,,,,,,,
2019-02-12 23:51:10,,,,,,60.0,,,,,,,,,100.0,3035.0,False
2019-02-12 23:51:13,,,,,94.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:51:13,,,,,94.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:51:18,,,,,,7.0,,,,,,,,,100.0,3035.0,True
2019-02-12 23:51:18,,,,,95.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:51:19,,,,,95.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:51:24,,,,,91.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:51:24,,,,,91.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:51:29,,,,,94.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:51:29,,,,,94.0,0.0,True,,,,,,,,100.0,3055.0,
2019-02-12 23:51:37,,,pairing,device incoming,,,,,,,,,,,,,
2019-02-12 23:52:40,,,,,,0.0,,,,,,,,,100.0,3035.0,True
2019-02-12 23:52:40,,,,,,0.0,,,,,,,,,100.0,3035.0,True
2019-02-12 23:52:59,,,,,94.0,0.0,False,,,,,,,,100.0,3055.0,
2019-02-12 23:54:43,,,,,,28.0,,14.16,,,,,,,,,
2019-02-12 23:54:43,,,,,,28.0,,14.16,,89.16,,,,,,,
2019-02-12 23:54:43,,,,,,28.0,,14.16,,89.16,,,1022.0,,,,
2019-02-12 23:54:47,,,,,,39.0,,14.17,,89.16,,,1022.0,,,,
2019-02-12 23:54:47,,,,,,39.0,,14.17,,88.78,,,1022.0,,,,
2019-02-12 23:54:47,,,,,,39.0,,14.17,,88.78,,,1022.0,,,,
2019-02-12 23:54:53,,,,,,31.0,,14.23,,88.78,,,1022.0,,,,
2019-02-12 23:54:53,,,,,,31.0,,14.23,,87.95,,,1022.0,,,,
2019-02-12 23:54:53,,,,,,31.0,,14.23,,87.95,,,1022.0,,,,
2019-02-12 23:54:56,,,,,,44.0,,14.28,,87.95,,,1022.0,,,,
2019-02-12 23:54:56,,,,,,44.0,,14.28,,87.29,,,1022.0,,,,
2019-02-12 23:54:56,,,,,,44.0,,14.28,,87.29,,,1022.0,,,,
2019-02-12 23:55:07,,,pairing,device incoming,,,,,,,,,,,,,
2019-02-12 23:55:37,,,,,,18.0,,14.47,,87.29,,,1022.0,,,,
2019-02-12 23:55:37,,,,,,18.0,,14.47,,85.24,,,1022.0,,,,
2019-02-12 23:55:37,,,,,,21.0,,14.47,,85.24,,,1022.0,,,,
2019-02-12 23:55:41,,,,,,31.0,,14.58,,85.24,,,1022.0,,,,
2019-02-12 23:55:41,,,,,,31.0,,14.58,,86.26,,,1022.0,,,,
2019-02-12 23:55:41,,,,,,31.0,,14.58,,86.26,,,1022.0,,,,
2019-02-12 23:55:44,,,,,,15.0,,14.65,,87.9,,,1022.0,,,,
2019-02-12 23:55:44,,,,,,15.0,,14.65,,87.9,,,1022.0,,,,
2019-02-12 23:55:48,,,,,,68.0,,14.59,,87.9,,,1022.0,,,,
2019-02-12 23:55:48,,,,,,68.0,,14.59,,88.98,,,1022.0,,,,
