date,state,device,type,message,temperature,linkquality,humidity,pressure,contact,illuminance,occupancy,battery,voltage,description,winddirection,windspeed,precipitation
2019-07-14 06:01:05,,,,,19.9,,85.0,1015.1,,,,,,Aveiro (Universidade) @ 2019-07-14T05:00,Norte,2.2,0.0
2019-07-14 06:01:06,,,,,25.43,21.0,72.23,1011.1,,,,74.0,2955.0,,,,
2019-07-14 06:30:02,,,,,25.35,21.0,72.23,1011.1,,,,74.0,2955.0,,,,
2019-07-14 06:30:02,,,,,25.35,21.0,72.27,1011.1,,,,74.0,2955.0,,,,
2019-07-14 06:30:02,,,,,25.35,21.0,72.27,1011.0,,,,74.0,2955.0,,,,
2019-07-14 06:47:03,online,status,,,,,,,,,,,,,,,
2019-07-14 06:55:26,,,,,25.31,21.0,72.37,1011.3,,,,74.0,2955.0,,,,
2019-07-14 07:00:18,,,,,25.28,21.0,72.37,1011.3,,,,74.0,2955.0,,,,
2019-07-14 07:00:18,,,,,25.28,21.0,72.32,1011.3,,,,74.0,2955.0,,,,
2019-07-14 07:00:18,,,,,25.28,21.0,72.32,1011.0,,,,74.0,2955.0,,,,
2019-07-14 07:01:05,,,,,19.9,,88.0,1015.4,,,,,,Aveiro (Universidade) @ 2019-07-14T06:00,Este,4.3,0.0
2019-07-14 07:30:44,,,,,25.25,21.0,72.32,1011.0,,,,74.0,2955.0,,,,
2019-07-14 07:30:44,,,,,25.25,21.0,72.36,1011.0,,,,74.0,2955.0,,,,
2019-07-14 07:30:44,,,,,25.25,21.0,72.36,1011.0,,,,74.0,2955.0,,,,
2019-07-14 07:48:45,online,status,,,,,,,,,,,,,,,
2019-07-14 07:50:08,,,,,25.26,18.0,72.3,1011.9,,,,74.0,2955.0,,,,
2019-07-14 08:00:00,,,,,25.46,15.0,72.3,1011.9,,,,74.0,2955.0,,,,
2019-07-14 08:00:00,,,,,25.46,15.0,72.92,1011.9,,,,74.0,2955.0,,,,
2019-07-14 08:00:00,,,,,25.46,15.0,72.92,1012.0,,,,74.0,2955.0,,,,
2019-07-14 08:01:04,,,,,19.9,,87.0,1015.7,,,,,,Aveiro (Universidade) @ 2019-07-14T07:00,Este,4.7,0.0
2019-07-14 08:43:48,,,,,25.39,34.0,71.19,1012.2,,,,74.0,2955.0,,,,
2019-07-14 08:50:49,online,status,,,,,,,,,,,,,,,
2019-07-14 09:01:05,,,,,19.9,,85.0,1016.2,,,,,,Aveiro (Universidade) @ 2019-07-14T08:00,Nordeste,6.1,0.0
2019-07-14 09:41:39,,,,,25.57,18.0,70.36,1012.2,,,,74.0,2955.0,,,,
2019-07-14 09:53:23,online,status,,,,,,,,,,,,,,,
