date,temperature,illuminance,occupancy,humidity,contact,feedback,linkquality
2019-02-13 20:17:59.720000+00:00,18.5,,,57.62,,,
2019-02-13 21:00:04.605000+00:00,13.0,,,72.0,,,
2019-02-13 21:09:22.827000+00:00,18.5,,,57.62,,,
2019-02-13 22:00:05.642000+00:00,11.6,,,79.0,,,
2019-02-13 22:05:27.079000+00:00,18.26,,,57.3,,,
2019-02-13 23:00:05.548000+00:00,10.8,,,83.0,,,
2019-02-13 23:02:51.680000+00:00,18.26,,,57.3,,,
2019-02-13 23:02:51.681000+00:00,18.26,,,57.23,,,
2019-02-14 00:00:04.556000+00:00,11.0,,,82.0,,,
2019-02-14 00:01:36.901000+00:00,18.19,,,57.09,,,
2019-02-14 00:01:36.902000+00:00,18.19,,,56.99,,,
2019-02-14 00:18:01.589000+00:00,18.14,,,56.99,,,
2019-02-14 00:18:01.641000+00:00,18.14,,,56.9,,,
2019-02-14 00:54:20.643000+00:00,18.14,,,56.9,,,
2019-02-14 01:00:06.935000+00:00,12.0,,,75.0,,,
2019-02-14 01:12:25.757000+00:00,18.11,,,56.84,,,
2019-02-14 01:12:25.810000+00:00,18.11,,,56.86,,,
2019-02-14 01:12:25.811000+00:00,18.11,,,56.86,,,
2019-02-14 01:47:04.429000+00:00,18.03,,,56.86,,,
2019-02-14 01:47:04.478000+00:00,18.03,,,56.63,,,
2019-02-14 01:47:04.479000+00:00,18.03,,,56.63,,,
2019-02-14 01:49:25.213000+00:00,18.03,,,56.63,,,
2019-02-14 02:00:04.805000+00:00,11.8,,,73.0,,,
2019-02-14 02:26:14.972000+00:00,18.01,,,56.67,,,
2019-02-14 02:26:14.996000+00:00,18.01,,,56.57,,,
2019-02-14 02:26:14.997000+00:00,18.01,,,56.57,,,
2019-02-14 02:48:50.710000+00:00,18.01,,,56.57,,,
2019-02-14 02:58:43.888000+00:00,18.04,,,56.35,,,
2019-02-14 02:58:43.950000+00:00,18.04,,,56.25,,,
2019-02-14 02:58:43.951000+00:00,18.04,,,56.25,,,
2019-02-14 03:00:04.687000+00:00,11.8,,,70.0,,,
2019-02-14 03:24:20.423000+00:00,17.98,,,56.25,,,
2019-02-14 03:24:20.484000+00:00,17.98,,,56.15,,,
2019-02-14 03:24:20.485000+00:00,17.98,,,56.15,,,
2019-02-14 03:48:56.666000+00:00,17.98,,,56.15,,,
2019-02-14 04:00:04.591000+00:00,11.5,,,69.0,,,
2019-02-14 04:47:41.629000+00:00,18.0,,,55.92,,,
2019-02-14 05:00:05.578000+00:00,11.5,,,66.0,,,
2019-02-14 05:33:03.337000+00:00,17.93,,,55.64,,,
2019-02-14 05:33:03.386000+00:00,17.93,,,55.47,,,
2019-02-14 05:33:03.387000+00:00,17.93,,,55.47,,,
2019-02-14 05:43:26.079000+00:00,17.93,,,55.47,,,
2019-02-14 05:56:40.056000+00:00,17.91,,,55.6,,,
2019-02-14 05:56:40.106000+00:00,17.91,,,55.66,,,
2019-02-14 06:00:05.416000+00:00,11.0,,,67.0,,,
2019-02-14 06:40:20.968000+00:00,17.91,,,55.66,,,
2019-02-14 06:51:44.505000+00:00,17.87,,,55.2,,,
2019-02-14 06:51:44.563000+00:00,17.87,,,55.15,,,
2019-02-14 06:51:44.564000+00:00,17.87,,,55.15,,,
2019-02-14 07:00:05.293000+00:00,10.6,,,68.0,,,
2019-02-14 07:32:04.647000+00:00,17.87,,,55.15,,,
2019-02-14 07:40:07.324000+00:00,17.87,,,55.3,,,
2019-02-14 07:40:07.389000+00:00,17.87,,,55.2,,,
2019-02-14 07:40:07.390000+00:00,17.87,,,55.2,,,
2019-02-14 08:00:05.162000+00:00,9.0,,,75.0,,,
2019-02-14 08:25:28.719000+00:00,17.95,,,55.2,,,
2019-02-14 08:25:28.746000+00:00,17.95,,,56.14,,,
